[2024-04-02 01:13:39.873783]: n_jobs = 1
[2024-04-02 01:13:39.873989]: worker 0 started
[2024-04-02 01:13:40.635778]: worker 0 started
[2024-04-02 01:13:41.401642]: worker 0 started
[2024-04-02 01:13:42.182228]: worker 0 started
[2024-04-02 01:13:42.953245]: worker 0 started
[2024-04-02 01:13:43.716895]: worker 0 started
[2024-04-02 01:13:44.494869]: worker 0 started
[2024-04-02 01:13:50.354895]: n_jobs = 2
[2024-04-02 01:13:50.355196]: worker 0 started
[2024-04-02 01:13:50.370578]: worker 1 started
[2024-04-02 01:13:51.079732]: worker 0 started
[2024-04-02 01:13:51.084817]: worker 1 started
[2024-04-02 01:13:51.800207]: worker 0 started
[2024-04-02 01:13:51.805343]: worker 1 started
[2024-04-02 01:13:52.519969]: worker 0 started
[2024-04-02 01:13:52.525052]: worker 1 started
[2024-04-02 01:13:53.244453]: worker 0 started
[2024-04-02 01:13:53.249622]: worker 1 started
[2024-04-02 01:13:53.943334]: worker 0 started
[2024-04-02 01:13:53.948390]: worker 1 started
[2024-04-02 01:13:54.643853]: worker 0 started
[2024-04-02 01:13:54.648974]: worker 1 started
[2024-04-02 01:13:58.139727]: n_jobs = 3
[2024-04-02 01:13:58.139912]: worker 0 started
[2024-04-02 01:13:58.150344]: worker 1 started
[2024-04-02 01:13:58.186467]: worker 2 started
[2024-04-02 01:13:58.877364]: worker 0 started
[2024-04-02 01:13:58.882566]: worker 1 started
[2024-04-02 01:13:58.887721]: worker 2 started
[2024-04-02 01:13:59.608925]: worker 0 started
[2024-04-02 01:13:59.613985]: worker 1 started
[2024-04-02 01:13:59.715308]: worker 2 started
[2024-04-02 01:14:00.539885]: worker 0 started
[2024-04-02 01:14:00.544941]: worker 1 started
[2024-04-02 01:14:00.757397]: worker 2 started
[2024-04-02 01:14:01.332198]: worker 0 started
[2024-04-02 01:14:01.337374]: worker 1 started
[2024-04-02 01:14:01.347736]: worker 2 started
[2024-04-02 01:14:02.109964]: worker 0 started
